ID,标题,类型,分数,实际分数,总人数,0星(短),1星(短),2星(短),3星(短),4星(短),5星(短),平均(短),人数(短),0星(长),1星(长),2星(长),3星(长),4星(长),5星(长),平均(长),人数(长)
7,漫研部,番剧,8.8,9.35135135135135,74,0,3,0,2,8,61,9.35135135135135,74,0,0,0,0,0,0,0,0
8,漫研部~妄想突变~,番剧,8.2,8.9,40,0,2,2,2,4,30,8.9,40,0,0,0,0,0,0,0,0
9,幕末Rock,番剧,8.8,9.32,50,0,0,1,2,10,37,9.32,50,0,0,0,0,0,0,0,0
17,网球并不可笑嘛 第一季,番剧,9.4,9.697368421052632,152,0,1,0,2,15,133,9.695364238410596,151,0,0,0,0,0,1,10.0,1
18,网球并不可笑嘛 第二季,番剧,9.2,9.68421052631579,57,0,0,0,1,7,48,9.678571428571429,56,0,0,0,0,0,1,10.0,1
19,网球并不可笑嘛 第三季,番剧,9.2,9.435897435897436,39,0,0,0,1,9,28,9.421052631578947,38,0,0,0,0,0,1,10.0,1
53,月刊少女野崎君,番剧,9.8,9.923678730230202,17767,0,13,17,48,474,17122,9.923842933122101,17674,0,0,0,1,3,89,9.89247311827957,93
59,青春之旅,番剧,9.6,9.719187675070028,2856,0,10,12,45,226,2510,9.720299678915447,2803,0,1,0,0,5,47,9.660377358490566,53
84,荷包蛋的蛋黄什么时候戳破才好？,番剧,9.2,9.417721518987342,237,0,2,2,9,37,181,9.402597402597403,231,0,0,0,0,0,6,10.0,6
92,每度！浦安铁筋家族,番剧,9.1,9.495798319327731,119,0,2,1,1,16,97,9.504273504273504,117,0,0,0,0,1,1,9.0,2
103,KERORO军曹,番剧,9.8,9.871977240398293,703,0,2,1,5,23,658,9.872278664731494,689,0,0,0,0,1,13,9.857142857142858,14
106,迷你偶像,番剧,9.5,9.83157894736842,95,0,1,0,1,2,91,9.83157894736842,95,0,0,0,0,0,0,0,0
110,犬神同学和猫山同学,番剧,9.7,9.835497835497835,693,0,0,1,8,37,642,9.837209302325581,688,0,0,0,0,1,4,9.6,5
111,剑灵,番剧,8.0,8.544,125,0,7,5,10,26,72,8.516666666666667,120,0,0,0,0,2,3,9.2,5
113,我们大家的河合庄,番剧,9.8,9.87458006718925,2679,0,4,1,22,100,2521,9.876888217522659,2648,0,0,0,1,3,27,9.67741935483871,31
123,宝石宠物 Tinkle☆（第二季）,番剧,9.8,9.918088737201366,293,0,1,1,0,5,281,9.916666666666666,288,0,0,0,0,0,5,10.0,5
124,宝石宠物 Sunshine（第三季）,番剧,7.4,8.06060606060606,33,0,5,1,3,3,19,7.935483870967742,31,0,0,0,0,0,2,10.0,2
125,宝石宠物 Kira☆Deko!（第四季）,番剧,8.4,9.6,40,0,2,0,0,0,38,9.6,40,0,0,0,0,0,0,0,0
162,罗德岛战记,番剧,9.6,9.76271186440678,177,0,0,1,4,9,160,9.770114942528735,174,0,0,0,0,1,2,9.333333333333334,3
163,罗德岛战记-英雄骑士传-,番剧,9.5,9.591836734693878,98,0,0,1,6,5,86,9.591836734693878,98,0,0,0,0,0,0,0,0
168,金色琴弦～Secondo Passo～,番剧,9.3,9.473684210526315,38,0,2,0,0,2,33,9.45945945945946,37,0,0,0,0,0,1,10.0,1
169,金色琴弦 Blue♪Sky,番剧,6.9,6.612244897959184,49,0,10,5,12,4,18,6.612244897959184,49,0,0,0,0,0,0,0,0
170,众神的恶作剧,番剧,9.0,9.244147157190636,299,0,8,6,13,35,233,9.247457627118644,295,0,0,0,1,0,3,9.0,4
173,一周的朋友。,番剧,9.7,9.817291207445505,4083,0,9,4,36,236,3716,9.822044488877781,4001,0,0,2,1,9,70,9.585365853658537,82
184,NO GAME NO LIFE 游戏人生,番剧,9.8,9.897163120567376,25380,0,74,37,126,622,24350,9.898369629894086,25209,0,0,1,3,15,152,9.719298245614034,171
